Airline,Destination airport,Origin airport,Origin Latitude,Origin Longitude,Route,Sequence,Destination Latitude ,Destination Longitude
WN,DEN,AUS,30.114,-97.4011,1,1,30.608684210526317,-97.76951579
WN,DEN,AUS,30.608684210526317,-97.76951579,1,2,31.103368421052632,-98.13793158
WN,DEN,AUS,31.103368421052632,-98.13793158,1,3,31.59805263157895,-98.50634737
WN,DEN,AUS,31.59805263157895,-98.50634737,1,4,32.09273684210526,-98.87476316
WN,DEN,AUS,32.09273684210526,-98.87476316,1,5,32.587421052631576,-99.24317895
WN,DEN,AUS,32.587421052631576,-99.24317895,1,6,33.08210526315789,-99.61159474
WN,DEN,AUS,33.08210526315789,-99.61159474,1,7,33.57678947368421,-99.98001053
WN,DEN,AUS,33.57678947368421,-99.98001053,1,8,34.071473684210524,-100.3484263
WN,DEN,AUS,34.071473684210524,-100.3484263,1,9,34.56615789473684,-100.7168421
WN,DEN,AUS,34.56615789473684,-100.7168421,1,10,35.060842105263156,-101.0852579
WN,DEN,AUS,35.060842105263156,-101.0852579,1,11,35.55552631578947,-101.4536737
WN,DEN,AUS,35.55552631578947,-101.4536737,1,12,36.05021052631579,-101.8220895
WN,DEN,AUS,36.05021052631579,-101.8220895,1,13,36.54489474,-102.1905053
WN,DEN,AUS,36.54489474,-102.1905053,1,14,37.03957894736842,-102.5589211
WN,DEN,AUS,37.03957894736842,-102.5589211,1,15,37.534263157894735,-102.9273368
WN,DEN,AUS,37.534263157894735,-102.9273368,1,16,38.02894736842105,-103.2957526
WN,DEN,AUS,38.02894736842105,-103.2957526,1,17,38.52363157894737,-103.6641684
WN,DEN,AUS,38.52363157894737,-103.6641684,1,18,39.01831578947368,-104.0325842
WN,DEN,AUS,39.01831578947368,-104.0325842,1,19,39.513,-104.401
WN,DEN,AUS,39.513,-104.401,1,20,39.513,-104.401
WN,LAS,DEN,39.513,-104.401,1,21,39.35173684210526,-105.0104211
WN,LAS,DEN,39.35173684210526,-105.0104211,1,22,39.190473684210524,-105.6198421
WN,LAS,DEN,39.190473684210524,-105.6198421,1,23,39.02921052631579,-106.2292632
WN,LAS,DEN,39.02921052631579,-106.2292632,1,24,38.86794736842105,-106.8386842
WN,LAS,DEN,38.86794736842105,-106.8386842,1,25,38.70668421052631,-107.4481053
WN,LAS,DEN,38.70668421052631,-107.4481053,1,26,38.545421052631575,-108.0575263
WN,LAS,DEN,38.545421052631575,-108.0575263,1,27,38.38415789473684,-108.6669474
WN,LAS,DEN,38.38415789473684,-108.6669474,1,28,38.22289474,-109.2763684
WN,LAS,DEN,38.22289474,-109.2763684,1,29,38.06163157894736,-109.8857895
WN,LAS,DEN,38.06163157894736,-109.8857895,1,30,37.90036842105263,-110.4952105
WN,LAS,DEN,37.90036842105263,-110.4952105,1,31,37.739105263157896,-111.1046316
WN,LAS,DEN,37.739105263157896,-111.1046316,1,32,37.57784210526316,-111.7140526
WN,LAS,DEN,37.57784210526316,-111.7140526,1,33,37.41657894736842,-112.3234737
WN,LAS,DEN,37.41657894736842,-112.3234737,1,34,37.255315789473684,-112.9328947
WN,LAS,DEN,37.255315789473684,-112.9328947,1,35,37.09405263157895,-113.5423158
WN,LAS,DEN,37.09405263157895,-113.5423158,1,36,36.93278947368421,-114.1517368
WN,LAS,DEN,36.93278947368421,-114.1517368,1,37,36.77152631578947,-114.7611579
WN,LAS,DEN,36.77152631578947,-114.7611579,1,38,36.610263157894735,-115.3705789
WN,LAS,DEN,36.610263157894735,-115.3705789,1,39,36.449,-115.98
WN,LAS,DEN,36.449,-115.98,1,40,36.449,-115.98
WN,MCO,LAS,36.449,-115.98,1,41,36.01770526315789,-114.1487211
WN,MCO,LAS,36.01770526315789,-114.1487211,1,42,35.58641052631579,-112.3174421
WN,MCO,LAS,35.58641052631579,-112.3174421,1,43,35.15511578947368,-110.4861632
WN,MCO,LAS,35.15511578947368,-110.4861632,1,44,34.72382105263158,-108.6548842
WN,MCO,LAS,34.72382105263158,-108.6548842,1,45,34.29252631578947,-106.8236053
WN,MCO,LAS,34.29252631578947,-106.8236053,1,46,33.86123157894737,-104.9923263
WN,MCO,LAS,33.86123157894737,-104.9923263,1,47,33.42993684210526,-103.1610474
WN,MCO,LAS,33.42993684210526,-103.1610474,1,48,32.99864210526316,-101.3297684
WN,MCO,LAS,32.99864210526316,-101.3297684,1,49,32.56734736842105,-99.49848947
WN,MCO,LAS,32.56734736842105,-99.49848947,1,50,32.13605263157895,-97.66721053
WN,MCO,LAS,32.13605263157895,-97.66721053,1,51,31.704757894736844,-95.83593158
WN,MCO,LAS,31.704757894736844,-95.83593158,1,52,31.27346315789474,-94.00465263
WN,MCO,LAS,31.27346315789474,-94.00465263,1,53,30.842168421052634,-92.17337368
WN,MCO,LAS,30.842168421052634,-92.17337368,1,54,30.410873684210525,-90.34209474
WN,MCO,LAS,30.410873684210525,-90.34209474,1,55,29.97957894736842,-88.51081579
WN,MCO,LAS,29.97957894736842,-88.51081579,1,56,29.548284210526315,-86.67953684
WN,MCO,LAS,29.548284210526315,-86.67953684,1,57,29.11698947368421,-84.84825789
WN,MCO,LAS,29.11698947368421,-84.84825789,1,58,28.685694736842105,-83.01697895
WN,MCO,LAS,28.685694736842105,-83.01697895,1,59,28.2544,-81.1857
WN,MCO,LAS,28.2544,-81.1857,1,60,28.2544,-81.1857
WN,LAS,MCO,28.2544,-81.1857,1,61,28.685694736842105,-83.01697895
WN,LAS,MCO,28.685694736842105,-83.01697895,1,62,29.11698947368421,-84.84825789
WN,LAS,MCO,29.11698947368421,-84.84825789,1,63,29.548284210526315,-86.67953684
WN,LAS,MCO,29.548284210526315,-86.67953684,1,64,29.97957894736842,-88.51081579
WN,LAS,MCO,29.97957894736842,-88.51081579,1,65,30.410873684210525,-90.34209474
WN,LAS,MCO,30.410873684210525,-90.34209474,1,66,30.84216842105263,-92.17337368
WN,LAS,MCO,30.84216842105263,-92.17337368,1,67,31.273463157894735,-94.00465263
WN,LAS,MCO,31.273463157894735,-94.00465263,1,68,31.70475789473684,-95.83593158
WN,LAS,MCO,31.70475789473684,-95.83593158,1,69,32.13605263157895,-97.66721053
WN,LAS,MCO,32.13605263157895,-97.66721053,1,70,32.56734736842105,-99.49848947
WN,LAS,MCO,32.56734736842105,-99.49848947,1,71,32.99864210526316,-101.3297684
WN,LAS,MCO,32.99864210526316,-101.3297684,1,72,33.42993684210526,-103.1610474
WN,LAS,MCO,33.42993684210526,-103.1610474,1,73,33.86123157894737,-104.9923263
WN,LAS,MCO,33.86123157894737,-104.9923263,1,74,34.29252631578947,-106.8236053
WN,LAS,MCO,34.29252631578947,-106.8236053,1,75,34.72382105263158,-108.6548842
WN,LAS,MCO,34.72382105263158,-108.6548842,1,76,35.15511578947368,-110.4861632
WN,LAS,MCO,35.15511578947368,-110.4861632,1,77,35.58641052631579,-112.3174421
