uniqueId,date,name,school,type,rating,tuition_fee,acceptance_rate
140525962630800,2024-03-20,CS401,Caltech,Stem,5,15240,95.59
140525185435472,2024-12-06,CS501,Caltech,Stem,5,20488,86.45
140525136263248,2024-04-16,CS501,Caltech,Stem,5,21475,65.41
140525182460432,2024-09-13,CS501,Caltech,Stem,5,20057,74.51
140525183011536,2024-09-29,CS501,Caltech,Stem,5,,
140525183013520,2024-08-23,CS401,Caltech,Stem,3,15145,94.81
140525183010832,2024-11-04,CS501,Caltech,Stem,4,20266,92.61
140525183013584,2024-11-30,CS501,Caltech,Stem,4,,
140525183018384,2024-07-07,CS401,Caltech,Stem,4,17194,83.17
140525183009424,2024-04-20,CS501,Caltech,Stem,4,21675,74.56
140525183015376,2024-11-08,CS501,Caltech,Stem,5,20300,73.56
140525183018576,2024-11-27,CS501,Caltech,Stem,5,20049,90.43
140525183013136,2024-12-02,CS401,Caltech,Stem,5,15233,75.15
140525183009936,2024-12-03,CS401,Caltech,Stem,3,15342,93.22
140525183016912,2024-08-21,CS501,Caltech,Stem,4,22996,88.53
140525183014736,2024-10-01,CS401,Caltech,Stem,4,17302,89.15
140525183018064,2024-09-28,CS401,Caltech,Stem,4,15008,87.36
140525183013776,2024-12-08,CS401,Caltech,Stem,2,15104,82.62
140525137114640,2024-09-21,CS401,Caltech,Stem,4,15189,80.12
140525137112400,2024-10-04,CS401,Caltech,Stem,,16989,63.61
140525137107984,2024-11-09,CS501,Caltech,Stem,4,20176,57.0
140525137105936,2024-08-31,CS501,Caltech,Stem,5,20263,86.38
140525137108496,2024-09-20,CS601,Caltech,Stem,4,25577,64.4
140525137111888,2024-11-30,CS401,Caltech,Stem,3,16277,88.66
140525137102096,,CS501,Caltech,Stem,4,21031,76.43
140525137113424,2024-09-06,CS501,Caltech,Stem,3,20150,96.29
140525137101328,2024-10-06,CS401,Caltech,Stem,4,16612,92.29
140525137102864,2024-06-02,CS401,Caltech,Stem,5,16600,91.47
140525137104912,2024-12-17,CS401,Caltech,Stem,4,16850,98.62
140525137106960,2024-12-16,CS601,Caltech,Stem,4,27384,92.33
140525137115920,2024-09-28,CS501,Caltech,Stem,3,20016,81.4
140525137101840,2024-09-22,CS501,Caltech,Stem,4,20091,95.23
140525137113168,2024-05-02,CS401,Caltech,Stem,5,15284,96.42
140525137113680,2024-12-19,CS401,Caltech,Stem,4,15436,61.75
140525137114128,2024-11-16,CS401,Caltech,Stem,4,16481,92.76
140525137107472,2024-11-12,CS401,Caltech,Stem,5,15590,98.78
140525137111120,2024-09-13,CS501,Caltech,Stem,4,20980,95.98
140525137105168,2024-11-26,CS401,Caltech,Stem,3,16073,95.59
140525137103376,2024-12-10,CS601,Caltech,Stem,4,25199,96.51
140525137107728,2024-12-24,CS501,Caltech,Stem,4,22925,67.68
140525137109200,2024-08-30,CS401,Caltech,Stem,5,16708,89.37
140525137109712,2024-11-19,CS501,Caltech,Stem,4,,
140525137103120,2024-10-31,CS401,Caltech,Stem,3,15002,81.7
140525137105680,2024-09-10,CS501,Caltech,Stem,5,22025,79.24
140525137113872,2024-10-24,CS501,Caltech,Stem,5,20318,58.92
140525137108240,2024-09-29,CS401,Caltech,Stem,4,16524,66.06
140526244023760,2024-12-17,CS401,Caltech,Stem,3,15366,74.06
140526244026832,2024-12-24,CS501,Caltech,Stem,3,22771,66.59
140526244023504,2024-08-14,CS401,Caltech,Stem,4,15164,58.15
140526244021904,2024-02-18,CS401,Caltech,Stem,5,17455,83.11
140526244028112,2024-07-19,CS501,Caltech,Stem,4,20929,96.76
140526244028560,2024-08-30,CS501,Caltech,Stem,4,21879,85.53
140526244025168,2024-05-24,CS401,Caltech,Stem,4,15167,79.85
140526244023952,2024-11-03,CS401,Caltech,Stem,3,16533,81.37
140526244023056,2024-12-07,CS501,Caltech,Stem,2,21242,77.2
140526244026960,2024-08-26,CS401,Caltech,Stem,4,18027,64.48
140526244024912,2024-12-25,CS401,Caltech,Stem,5,16437,94.65
140526244021520,2024-10-19,CS401,Caltech,Stem,5,15732,80.69
140526244021456,2024-10-27,CS401,Caltech,Stem,5,16457,93.29
140526244023440,,CS401,Caltech,Stem,4,15875,76.12
140526244028176,2024-10-01,CS501,Caltech,Stem,3,20612,65.03
140526244023184,2024-08-06,CS401,Caltech,Stem,4,15289,65.95
140526244027024,2024-10-09,CS501,Caltech,Stem,4,21319,79.09
140526244022096,2024-06-04,CS401,Caltech,Stem,4,16667,71.28
140526244027408,2024-11-07,CS501,Caltech,Stem,3,20507,95.62
140526244026448,2024-11-05,CS501,Caltech,Stem,3,24361,97.61
140526244023376,2024-06-14,CS401,Caltech,Stem,5,17399,80.08
140526244020304,2024-12-23,CS501,Caltech,Stem,3,23363,74.61
140526244022352,2024-08-24,CS501,Caltech,Stem,5,20050,86.59
140526244025104,2024-10-26,CS501,Caltech,Stem,3,21047,94.54
140526244028432,2024-06-02,CS401,Caltech,Stem,3,15927,92.46
140526244024976,2024-11-01,CS501,Caltech,Stem,4,20608,67.05
140526244021392,2024-11-18,CS501,Caltech,Stem,3,21082,82.7
140526244020624,2024-12-01,CS601,Caltech,Stem,5,26456,80.42
140526244028688,2024-07-09,CS401,Caltech,Stem,5,15379,93.43
140526244024336,,CS401,Caltech,Stem,4,17015,93.84
140526244027536,2024-09-26,CS601,Caltech,Stem,5,25054,97.95
140526244024656,2024-08-26,CS501,Caltech,Stem,3,20890,90.2
140526244028944,2024-10-04,CS401,Caltech,Stem,3,16052,75.32
140526244027216,2024-11-08,CS501,Caltech,Stem,5,22401,87.38
140526244024208,2024-07-17,CS401,Caltech,Stem,3,16209,85.25
140526244022736,,CS501,Caltech,Stem,4,24035,96.83
140526244022800,2024-08-20,CS601,Caltech,Stem,4,25428,85.22
140526244029136,2024-06-23,CS401,Caltech,Stem,5,15616,97.87
140526244029264,2024-12-15,CS501,Caltech,Stem,5,22977,90.22
140526244027280,2024-06-01,CS501,Caltech,Stem,3,,
140526244022032,2024-12-07,CS401,Caltech,Stem,4,15455,92.62
140526244023568,2024-07-12,CS501,Caltech,Stem,4,20291,86.24
140525123516880,2024-07-28,CS501,Caltech,Stem,4,21502,72.55
140525123504528,2024-11-09,CS501,Caltech,Stem,4,21579,90.45
140525123512464,2024-04-09,CS501,Caltech,Stem,5,20394,95.63
140525123508304,2024-08-20,CS401,Caltech,Stem,3,15032,81.07
140525123515024,2024-11-30,CS501,Caltech,Stem,5,22264,95.26
140525123515152,2024-07-31,CS501,Caltech,Stem,3,20542,82.16
140525123512208,2024-12-21,CS501,Caltech,Stem,5,20734,93.78
140525123505552,2024-11-21,CS401,Caltech,Stem,5,16015,94.05
140525123510928,2024-08-25,CS501,Caltech,Stem,4,,
140525123513680,2024-09-14,CS501,Caltech,Stem,3,,
140525123514000,2024-12-23,CS501,Caltech,Stem,3,22082,87.73
140525123516624,2024-12-28,CS401,Caltech,Stem,4,15378,78.58
140525123512784,2024-06-07,CS401,Caltech,Stem,4,16871,74.72
140525123502160,2024-10-28,CS501,Caltech,Stem,4,,
140525123507216,2024-12-23,CS501,Caltech,Stem,5,23136,80.85
140525123511824,2024-09-30,CS501,Caltech,Stem,4,20448,54.45
140525123517264,2024-11-25,CS501,Caltech,Stem,5,22927,87.43
140525123505040,2024-07-14,CS501,Caltech,Stem,4,20549,78.53
140525123516048,2024-10-07,CS501,Caltech,Stem,3,,
140525123515408,2024-11-12,CS501,Caltech,Stem,4,20119,77.26
140525123514512,2024-12-15,CS401,Caltech,Stem,5,15027,89.16
140525123516496,2024-11-17,CS401,Caltech,Stem,5,17375,81.94
140525123509968,2024-08-28,CS401,Caltech,Stem,4,16013,49.49
140525123504720,2024-03-16,CS401,Caltech,Stem,4,18059,93.26
140525123510096,2024-12-23,CS501,Caltech,Stem,4,20190,71.96
140525123517520,2024-08-17,CS501,Caltech,Stem,2,20867,92.15
140525123510416,2024-08-17,CS401,Caltech,Stem,5,15006,73.18
140525123507024,2024-11-20,CS401,Caltech,Stem,4,15217,84.96
140525123503120,2024-08-23,CS401,Caltech,Stem,3,15380,95.96
140525123518224,2024-11-12,CS401,Caltech,Stem,3,15977,96.96
140525123516240,2024-09-25,CS401,Caltech,Stem,2,17236,88.17
140525123502544,2024-04-16,CS501,Caltech,Stem,5,23036,96.16
140525123510672,2024-12-12,CS401,Caltech,Stem,3,16489,98.38
140525123507920,2024-08-08,CS401,Caltech,Stem,4,16695,98.23
140525123507792,2024-08-17,CS501,Caltech,Stem,2,21786,81.18
140525123507088,,CS501,Caltech,Stem,3,23332,97.86
140525123515792,2024-08-04,CS401,Caltech,Stem,4,15964,76.75
140525123508176,2024-12-01,CS401,Caltech,Stem,5,,
140525123511312,2024-08-15,CS401,Caltech,Stem,5,16817,76.31
140525123510288,2024-06-16,CS501,Caltech,Stem,3,20322,85.15
140525123510992,2024-08-19,CS501,Caltech,Stem,4,20311,93.66
140525123514384,2024-09-29,CS501,Caltech,Stem,4,20099,91.16
140525123510864,2024-07-16,CS601,Caltech,Stem,5,25819,78.15
140525123504848,2024-09-11,CS501,Caltech,Stem,4,21290,73.32
140525123509136,2024-12-20,CS501,Caltech,Stem,3,,
140525123508880,2024-09-26,CS501,Caltech,Stem,5,20973,95.68
140525123515728,2024-08-18,CS501,Caltech,Stem,5,20380,74.45
140525123508560,2024-11-07,CS601,Caltech,Stem,4,27001,89.34
140525123509840,2024-07-14,CS401,Caltech,Stem,4,16342,92.63
140525123516752,2024-11-08,CS501,Caltech,Stem,5,23299,95.16
140525123509520,2024-11-23,CS601,Caltech,Stem,,25294,63.27
140525123517712,2024-11-12,CS501,Caltech,Stem,,20966,90.66
140525123509392,2024-12-16,CS401,Caltech,Stem,3,16086,68.04
140525123507856,2024-12-13,CS401,Caltech,Stem,5,15067,95.0
140525123516944,2024-11-28,CS501,Caltech,Stem,3,20748,71.73
140525123510352,2024-05-12,CS401,Caltech,Stem,5,15885,72.82
140525123512528,2024-10-17,CS401,Caltech,Stem,3,18459,95.68
140525123515600,2024-09-21,CS501,Caltech,Stem,5,21909,61.93
140525123510032,2024-11-22,CS401,Caltech,Stem,5,15445,82.79
140525123507984,2024-11-19,CS501,Caltech,Stem,,22390,68.48
140525123518288,2024-06-25,CS401,Caltech,Stem,5,15524,85.71
140525123509456,2024-10-14,CS401,Caltech,Stem,4,16186,91.55
140525123502928,2024-08-25,CS401,Caltech,Stem,2,,
140525123503056,2024-11-07,CS401,Caltech,Stem,5,16431,89.81
140525123511440,2024-08-11,CS501,Caltech,Stem,4,20542,81.38
140525123507280,2024-09-07,CS401,Caltech,Stem,4,16722,98.69
140525123508432,2024-06-11,CS401,Caltech,Stem,5,15225,94.62
140525123513104,2024-11-29,CS401,Caltech,Stem,5,15187,62.72
140525123506384,2024-10-27,CS401,Caltech,Stem,,15432,67.88
140525123518416,2024-11-14,CS401,Caltech,Stem,4,,
140525123516112,2024-12-22,CS501,Caltech,Stem,5,20834,69.06
140525123513296,2024-11-15,CS401,Caltech,Stem,4,15862,67.24
140525123513168,2024-11-08,CS401,Caltech,Stem,4,15999,94.15
140525123511568,2024-12-30,CS501,Caltech,Stem,4,21339,97.66
140525123511248,2024-09-23,CS401,Caltech,Stem,3,15057,76.2
140525123513616,2024-11-13,CS401,Caltech,Stem,3,16702,78.31
140525123509200,2024-04-23,CS501,Caltech,Stem,3,20837,51.79
140525123517200,2024-11-02,CS501,Caltech,Stem,3,23067,72.46
